OBJECTID,BUSINESS_ID,SCORE,DATE_,DESCRIPTION,TYPE
30998755,12C14274-1670-122A-ED39C62237E611D7,95,2018/12/18 05:00:00+00,,routine
30998756,1B300C79-C3AF-D6DE-0411D4101F33E68C,95.5,2018/12/18 05:00:00+00,,routine
30998757,12ECC03D-5056-A20B-FA17359351256942,96,2018/12/18 05:00:00+00,,routine
30998758,494684,96,2018/12/18 05:00:00+00,,routine
30998759,495434,96,2018/12/18 05:00:00+00,,routine
30998760,683DD75A-D90B-06DE-AF0C2A94AE9606D3,97.5,2018/12/18 05:00:00+00,,routine
30998761,E0F66D30-95A0-5F1E-6803DF7B4D9628C8,97.5,2018/12/18 05:00:00+00,,routine
30998762,3A42EBA5-E40F-DF58-19D91C836EE058E9,98,2018/12/18 05:00:00+00,,routine
30998763,149EF004-DBC1-A1D4-C9EDABAABF1D0E73,98,2018/12/18 05:00:00+00,,routine
30998764,14EA1C20-5056-A20B-FAD15564C87C93AA,98,2018/12/18 05:00:00+00,,routine
30998765,500483,98,2018/12/18 05:00:00+00,,routine
30998766,501272,99,2018/12/18 05:00:00+00,,routine
30998767,B169D8F3-5056-A20B-FAF66E2E72E87F9B,99,2018/12/18 05:00:00+00,,routine
30998768,499748,91.5,2019/01/03 05:00:00+00,,routine
30998769,2472E01F-5056-A20B-FA54FA0BB81D7BEC,86.5,2018/12/20 05:00:00+00,,routine
30998770,2472E01F-5056-A20B-FA54FA0BB81D7BEC,,2018/12/20 05:00:00+00,,routine
30998771,2FAB0411-D5D9-FA14-D5E37330B1DBE024,88.5,2018/12/20 05:00:00+00,,routine
30998772,494901,93,2019/01/03 05:00:00+00,,routine
30998773,DB6881D2-5056-A20F-9EA6FBC17B6C6FAB,94,2019/01/03 05:00:00+00,,routine
30998774,7C287FAE-C4DE-90CA-9AD12FB17B153053,93,2018/12/19 05:00:00+00,,routine
30998775,508804,93,2018/12/19 05:00:00+00,,routine
30998776,DA8F7FFF-5056-A20F-9E96399838811FCA,93,2018/12/19 05:00:00+00,,followup
30998777,A93E3218-C3DA-C421-1261E6644D1AD6EA,93.5,2018/12/19 05:00:00+00,,routine
30998778,97B4FB96-88FB-899E-6FFC146BCEBA4918,94,2018/12/19 05:00:00+00,,routine
30998779,9EBD3E52-FA0E-63AA-FFD88B18CCAC2B3A,94.5,2018/12/19 05:00:00+00,,routine
30998780,B8D37A1B-F32D-C2A1-55CC0A1F0C073101,94.5,2018/12/19 05:00:00+00,,routine
30998781,58BA67AC-0B3C-B28C-7F6FC1696A5A1164,94.5,2018/12/19 05:00:00+00,,routine
30998782,498463,95,2018/12/19 05:00:00+00,,routine
30998783,500401,95,2018/12/19 05:00:00+00,,routine
30998784,FD3C9344-5056-A20F-9EC8A5053F7FEC3C,95,2018/12/19 05:00:00+00,,routine
30998785,67D7EE5C-B1C4-5453-18220B7A994B16DA,95.5,2018/12/19 05:00:00+00,,routine
30998786,146ADAE0-AAC4-D8A1-E80B7560649D44ED,96,2018/12/19 05:00:00+00,,routine
30998787,A34DAE70-97C1-382F-3866DC65CA73C43E,96,2018/12/19 05:00:00+00,,routine
30998788,18AF645A-941C-4CD7-C3469308FC54E0E2,96.5,2018/12/19 05:00:00+00,,routine
30998789,2BD9937F-B211-0153-F8245FA6850A6D85,96.5,2018/12/19 05:00:00+00,,routine
30998790,B1BCAD9F-1422-201B-1989A09AA111363B,96.5,2018/12/19 05:00:00+00,,routine
30998791,EA520BBA-5056-A20B-FA61EBE9A70AA6B4,97,2018/12/19 05:00:00+00,,routine
30998792,422A84F3-5056-A20F-9EFC19ED3D4ACCE1,97,2018/12/19 05:00:00+00,,routine
30998793,500340,97,2018/12/19 05:00:00+00,,routine
30998794,3A1103B9-DBD8-36C5-8ECE97BE9CA05961,97.5,2018/12/19 05:00:00+00,,routine
30998795,495007,97.5,2018/12/19 05:00:00+00,,routine
30998796,812578E2-13D4-D73C-EC0E12792E47A294,97.5,2018/12/19 05:00:00+00,,routine
30998797,CC9C38AE-5056-A20B-FABFD2AF3B2A1B59,97.5,2018/12/19 05:00:00+00,,routine
30998798,496656,98,2018/12/19 05:00:00+00,,routine
30998799,FF3402BC-EAD1-489B-8C6FADEB437707AF,98,2018/12/19 05:00:00+00,,routine
30998800,4897FC80-B9F8-1AB8-EC8EB737D319E394,98.5,2018/12/19 05:00:00+00,,routine
30998801,499563,98.5,2018/12/19 05:00:00+00,,routine
30998802,500957,89,2018/12/20 05:00:00+00,,routine
30998803,340FB9D2-1422-201B-198FB6B5B3878B95,94.5,2018/12/20 05:00:00+00,,routine
30998804,527914,94.5,2018/12/20 05:00:00+00,,routine
30998805,8D71C1CC-C592-2A12-C5337491D090F761,94,2018/12/28 05:00:00+00,,routine
30998806,B2D84194-E375-84CE-2900B754AB4777C5,90,2018/12/20 05:00:00+00,,routine
30998807,FF085A3D-DC98-E4CF-79262C24B0DD7304,90.5,2018/12/20 05:00:00+00,,routine
30998808,505EB10A-9AC6-57CA-E37480E9C9CB6A8E,92,2018/12/20 05:00:00+00,,routine
30998809,672BF2CC-E883-EE02-B963DD1A5AC57D60,93,2018/12/20 05:00:00+00,,routine
30998810,496561,92.5,2018/12/20 05:00:00+00,,routine
30998811,EB7A9DBF-5056-A20F-9EDC85B7814BE1A3,93,2018/12/20 05:00:00+00,,routine
30998812,68E8BC26-91A9-1674-B0FD158409AE27B6,93.5,2018/12/20 05:00:00+00,,routine
30998813,E5640492-10B3-8BC7-ABCB103226CABA6A,93.5,2018/12/20 05:00:00+00,,routine
30998814,503754,93.5,2018/12/27 05:00:00+00,,routine
30998815,3B54D916-5056-A20B-FA26D0E547AFBDE4,99,2018/12/27 05:00:00+00,,routine
30998816,496027,96,2019/01/09 05:00:00+00,,routine
30998817,09D1F2AB-5056-A20B-FAC07A5290E94938,96.5,2018/12/18 05:00:00+00,,routine
30998818,9F2FC456-D890-54A1-076DA0A9983177E8,94.5,2018/12/20 05:00:00+00,,routine
30998819,9F43DFA3-3048-94EE-98689E98E9D7A293,94.5,2018/12/20 05:00:00+00,,routine
30998820,A9342359-F02F-5E6F-18245DCD2D6AC023,95,2018/12/20 05:00:00+00,,routine
30998821,EB89FA16-5056-A20F-9EC581A78C784F5C,95.5,2018/12/20 05:00:00+00,,routine
30998822,CCDF0DE7-05FD-F1BE-5A228A476EFADFEE,95.5,2018/12/20 05:00:00+00,,routine
30998823,9B883342-5056-A20F-9EF23FA57AAC65EB,96,2018/12/20 05:00:00+00,,routine
30998824,55B2905F-5056-A20B-FA9315D38FCF9723,96,2018/12/20 05:00:00+00,,routine
30998825,97EDD74B-5056-A20B-FAEF05C6B7CE353A,96,2018/12/20 05:00:00+00,,routine
30998826,496898,96.5,2018/12/20 05:00:00+00,,routine
30998827,869000E7-5056-A20B-FA42A7EA56515803,97,2018/12/20 05:00:00+00,,routine
30998828,A5A10BF4-1209-BE40-9C74729E171F393D,97,2018/12/20 05:00:00+00,,routine
30998829,7D0B2189-D9C9-1FA1-E3BF8A24D3C0476F,97,2019/09/16 04:00:00+00,,routine
30998830,B0E01AAA-5056-A20B-FA4FA5754FE64460,97,2018/12/20 05:00:00+00,,routine
30998831,495484,98,2018/12/20 05:00:00+00,,routine
30998832,C1E00828-5056-A20B-FA861FFCAEBF735A,98,2018/12/20 05:00:00+00,,routine
30998833,85C6FFE6-928B-01E4-E21348A290CA46C8,98.5,2018/12/20 05:00:00+00,,routine
30998834,B299DB38-5056-A20B-FA3829604E9F3D83,99.5,2018/12/20 05:00:00+00,,routine
30998835,956A862B-E448-7C40-A49F3655435B0FA9,91,2018/12/27 05:00:00+00,,routine
30998836,508970,92,2018/12/27 05:00:00+00,,routine
30998837,5B528A8E-B6A2-1FCC-6B53928D8BBE1B0F,93,2018/12/27 05:00:00+00,,routine
30998838,98DA6FA5-B975-C2BB-4A9073EDF8BB0F94,94.5,2018/12/27 05:00:00+00,,routine
30998839,E6A90989-5056-A20F-9ED089A602666A59,95,2018/12/27 05:00:00+00,,followup
30998840,F446E29B-3048-9838-60DC885717AD91C1,99,2019/12/09 05:00:00+00,,routine
30998841,496150,95.5,2019/12/19 05:00:00+00,,routine
30998842,1B8EA9AA-5056-A20F-9EF8E9C0858FB080,94,2020/01/22 05:00:00+00,,routine
